K_Value,Train_Accuracy,Test_Accuracy,Accuracy_Difference,Training_Time
1,1.0,0.743,0.257,0.0011
2,0.8726,0.72,0.1526,0.0007
3,0.8737,0.7397,0.134,0.0011
4,0.833,0.7357,0.0973,0.0008
5,0.8214,0.7423,0.0791,0.0008
6,0.8083,0.7317,0.0766,0.0011
7,0.8013,0.7383,0.063,0.0009
8,0.7877,0.731,0.0567,0.0007
9,0.7847,0.7273,0.0574,0.0007
10,0.7799,0.7243,0.0555,0.0012
11,0.7739,0.7243,0.0495,0.0008
12,0.7679,0.7207,0.0472,0.0008
13,0.7644,0.7203,0.0441,0.0007
14,0.7591,0.7173,0.0418,0.001
15,0.757,0.7197,0.0373,0.0007
16,0.7544,0.717,0.0374,0.0011
17,0.7464,0.7117,0.0348,0.0008
18,0.7443,0.7137,0.0306,0.0011
19,0.7423,0.71,0.0323,0.0008
20,0.7407,0.7093,0.0314,0.0007
